מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
P3003,2956206,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,2956207,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,2956218,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3003,2960377,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3003,2960916,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3003,3045899,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3003,3082754,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P3
P3003,3082870,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3003,3082951,Lighting Fixtures,Exit Parking,EXIT Base_Ceiling_Wall_R18,P3
P3003,3083110,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3003,3117114,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3003,3117290,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3003,3117811,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3003,3117820,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3003,3119008,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3119197,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3119335,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3120708,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3120976,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3121391,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3173483,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3186202,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3186254,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3186320,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,3618983,Electrical Fixtures,Motion detector Mov,Detector Presence,P3
P3003,3618984,Electrical Equipment,6131_38-183-500,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,P3
P3003,3620450,Electrical Equipment,6131_38-183-500,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,P3
P3003,4025611,Electrical Fixtures,W,M_Junction Boxes - W,P3
P3003,4025669,Electrical Fixtures,W,M_Junction Boxes - W,P3
P3003,4268102,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3003,4268103,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3003,1071084,Mechanical Equipment,Fresh air fan,pachtaas - fan 915,P3
P3003,1071091,Mechanical Equipment,Fresh air fan,pachtaas - fan 915,P3
P3003,1071098,Mechanical Equipment,Fresh air fan,pachtaas - fan 915,P3
P3003,1074111,Mechanical Equipment,Fresh air fan,pachtaas - fan 915,P3
P3003,5612313,Mechanical Equipment,Smoke Exhaust Fan,pachtaas - fan 1015,P3
P3003,5612408,Mechanical Equipment,Smoke Exhaust Fan,pachtaas - fan 1015,P3
P3003,7984426,Mechanical Equipment,Smoke Exhaust Fan,pachtaas - fan 1015,P3
P3003,8006787,Mechanical Equipment,Smoke Exhaust Fan,pachtaas - fan 1015,P3
P3003,9465369,Mechanical Equipment,Fresh air fan,pachtaas - fan 915,P3
P3003,9465391,Mechanical Equipment,Fresh air fan,pachtaas - fan 915,P3
P3003,9465639,Mechanical Equipment,Smoke Exhaust Fan,pachtaas - fan 1015,P3
P3003,9465715,Mechanical Equipment,Smoke Exhaust Fan,pachtaas - fan 1015,P3
P3014,1728984,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3014,1728985,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3014,1729036,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3014,2119875,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3014,2121441,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3014,2262137,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3014,3067652,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3067660,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3067668,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3067680,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3067713,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3067729,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3067741,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3067755,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3014,3621136,Electrical Fixtures,Presence WC LM detector Mov,Detector Presence,P3
P3014,3621138,Electrical Equipment,6131_38-183-500,E_Wall Junction Box_MEPcontent_ABB_KNX Box_INT-EN_Shared,P3
P3011,2355644,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3048,2262185,Electrical Fixtures,W,M_Junction Boxes - W,P3
P3048,2264873,Electrical Fixtures,Normal x3,Frame_Socket,P3
P3048,4071670,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3064,1439860,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P3
P3064,1439861,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,P3
P3064,1727887,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1727888,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1727889,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1727890,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1727891,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1727892,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1727893,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1727894,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3064,1728166,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3064,1728167,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3064,2262338,Electrical Fixtures,1 AC GEN,Frame_Socket,P3
P3064,2262340,Electrical Fixtures,1 AC GEN,Frame_Socket,P3
