מס' חדר,ID,קטגוריה,סוג,משפחה,קומה
L3033,1717210,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717211,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717212,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717213,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,L3
L3033,1717619,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L3
L3033,1717621,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L3
L3033,3967433,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967434,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967435,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967436,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967437,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967439,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967440,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967441,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3967442,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3033,3998029,Electrical Fixtures,Gen,Frame_Socket,L3
L3033,3998030,Electrical Fixtures,Gen,Frame_Socket,L3
L3033,4325324,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3033,4325370,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3033,11104833,Mechanical Equipment,AWV 1200,AWV 1200,L3
L3033,11104834,Mechanical Equipment,AWV 1200,AWV 1200,L3
L3034,11106620,Mechanical Equipment,AWSQ 450,AWSQ 450(right),L3
L3038,1613982,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3038,1613984,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3038,1752546,Electrical Fixtures,Normal x1 WP,Frame_Socket,L3
L3038,3882040,Electrical Fixtures,Type 2,Frame_Socket,L3
L3038,3882096,Electrical Fixtures,Type 2,Frame_Socket,L3
L3038,3882145,Electrical Fixtures,Type 2,Frame_Socket,L3
L3039,2308349,Electrical Equipment,60x240x210  GEN,Yani_Circuit breaker_SwitchBoard,L3
L3039,4325246,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3041,1717617,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,L3
L3041,4325286,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3044,1752782,Electrical Fixtures,Normal x2,Frame_Socket,L3
L3044,3967445,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3044,3967447,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3044,11106608,Mechanical Equipment,AWSQ 450,AWSQ 450(right),L3
L3045,1613884,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3045,1613885,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3046,3879172,Electrical Fixtures,W,M_Junction Boxes - W,L3
L3046,3967450,Lighting Fixtures,42W 4000K,סי לד 6600,L3
L3046,11106621,Mechanical Equipment,AW 450,AW 450(right),L3
L3047,3878384,Electrical Fixtures,FOR LSS UPS,Frame_Socket,L3
L3053,3878546,Electrical Fixtures,FOR LSS UPS,Frame_Socket,L3
L3055,1752571,Electrical Fixtures,Normal x2,Frame_Socket,L3
L3060,1613838,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3060,1613840,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,L3
L3060,1625494,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,L3
L3060,1625496,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,L3
L3060,3942924,Electrical Fixtures,Type 2,Frame_Socket,L3
L3060,3948509,Electrical Fixtures,Type 2,Frame_Socket,L3
L3060,3948705,Electrical Fixtures,Type 2,Frame_Socket,L3
L3060,3955411,Electrical Fixtures,Type 2,Frame_Socket,L3
L3060,3997858,Electrical Fixtures,1 AC,Frame_Socket,L3
L3060,11104432,Mechanical Equipment,AWSQ 2000,AWSQ 2000(right),L3
L3065,1714280,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,L3
L3065,1717564,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L3
L3065,1717565,Electrical Equipment,400mmx250mmx600h,M_Transformer Switchboard,L3
L3065,4325155,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3065,4325201,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,L3
L3065,11112084,Mechanical Equipment,AWV 1200,AWV 1200,L3
L3065,11112086,Mechanical Equipment,AWV 1200,AWV 1200,L3
L3072,1752544,Electrical Fixtures,Normal x1 WP,Frame_Socket,L3
L3072,3880385,Electrical Fixtures,Type 2,Frame_Socket,L3
L3072,3880573,Electrical Fixtures,Type 2,Frame_Socket,L3
L3072,3880580,Electrical Fixtures,Type 2,Frame_Socket,L3
L3072,3880586,Electrical Fixtures,Type 2,Frame_Socket,L3
L3072,3880592,Electrical Fixtures,Type 2,Frame_Socket,L3
L3073,1752545,Electrical Fixtures,Normal x1 WP,Frame_Socket,L3
L3073,3880648,Electrical Fixtures,Type 2,Frame_Socket,L3
L3073,3880672,Electrical Fixtures,Type 2,Frame_Socket,L3
